,id,title,abstract,pillar,research_category,truncated,LR,SVC,MLP
615,pub.1193443783,"Proliferation and metabolic activity of the Atlantic sturgeon cell line AOXlar7y under short-term serum-reduced conditions, and the effect of stimulation with growth factors and cytokines","Introduction: Fish cell lines represent a powerful tool for studying the biology and toxicology of aquatic species in compliance with the 3Rs principles. In addition, they hold potential for more advanced biotechnological applications. However, fish cell cultures are mainly cultivated with fetal bovine serum. Therefore, in this study, we investigated the impact of serum reduction and the effects of six growth factors and cytokines on a sturgeon larval cell line (AOXla7y), which has been previously proven to be a valuable model for climate change and toxicology studies.
Methods: The serum reduction (from 10% to 5% and 2%) and the addition of two concentrations (10 and 50 ng/mL) of six growth factors and cytokines (FGF-2, IGF-1, LIF, IFN-γ, IL-13, and IL-15) to the 2% serum growth medium were evaluated over 6 days of cultivation. The morphology and cell density were determined using phasecontrast images after the experiment ended, while real-time label-free cell impedance (xCELLigence) was recorded throughout the cultivation period. Moreover, the end-point oxygen consumption in basal and uncoupled respiration conditions was analyzed with the Seahorse XF Cell Mito Stress Test Kit.
Results: The results demonstrated a general adaptation of the sturgeon cell line to a serum-reduced environment and the modulatory effects of growth factor and cytokine supplementation on cell growth and metabolism.
Discussion: These findings suggest that the sturgeon cell line has the potential to transition to a serumfree medium without major observed morphological modifications and with a limited reduction in proliferation. Its metabolism was differentially modulated by the signaling of growth factors and cytokines and exhibited a variable metabolic phenotype under mitochondrial stress. This study provides a characterization of the Atlantic sturgeon cell metabolism and offers a preliminary assessment for developing an animal-free and chemically defined medium.",CM,Cell culture media,False,True,False,True
128,pub.1187949241,"Dietary effects of plant-based meat analog and animal meat on serum metabolism, gut microbiota, and hepatic metabolic pathway in mice","The rising health concerns about red meat have led to increased interest in plant-based diets. High-moisture extrusion processing (HMEP) is a key method for producing plant-based meat analogs (PBMAs), but its health effects are not fully understood due to its extensive thermal and mechanical processing. This study evaluated the health impacts of PBMAs derived from HMEP compared to conventional animal meats through short-term intervention trials. Mice were fed high-fat diets (HFDs) containing soy protein isolate-based meat analog prepared from HMEP (SMA), chicken breast (C), or pork loin (P). Effects on body weight gain suppression, lipid metabolic consequences, gut microbiota composition, and hepatic metabolic pathway in mice were determined. Results indicated that HFD-SMA intake mitigated obesity, improved blood glucose and lipid profiles, and reduced hepatic fat accumulation compared to HFD-C and HFD-P intake. Gut microbiota analysis revealed comparable structures between HFD-SMA and HFD-C groups, with increased anti-obesity bacteria and decreased obesity-inducing bacteria. Liver gene expression analysis highlighted the activation of the peroxisome proliferator-activated receptor alpha (PPARα) signaling pathway in HFD-SMA-fed mice. These findings suggested that SMA consumption had beneficial effects on lipid metabolism and gut microbiota compared to animal meat consumption, particularly pork, in HFD-fed mice.",PB,Health & nutrition,False,True,True,True
223,pub.1189698440,"A Nationwide Survey of Italian University Students: Exploring the Influences of Sustainable Dietary Behaviors, Lifestyle, and Sociodemographic Factors on Adherence to the Mediterranean Diet","BACKGROUND/OBJECTIVES: Recent decades have seen a remarkable westernization of diets and a decline in adherence to the Mediterranean diet (MD). This study examined the eating habits of a representative sample of Italian university students to identify the determinants of adherence to the MD and the most relevant actions to improve their well-being.
METHODS: The Mediterranean Diet Quality Index for Children and Adolescents (KIDMED) and Sustainable Healthy Diet (SHED) index questionnaires were used to explore MD adherence as the primary outcome, and dietary behavior sustainability, respectively. Sociodemographic, anthropometric, and lifestyle information was also collected.
RESULTS: The final sample included 1434 subjects (18-24; 60% female). The median (IQR) KIDMED score was 6.0 (4.0-8.0) and 33% showed a high adherence to the MD. Having breakfast, eating fruit and vegetables at least once a day, consuming pasta or other grains almost daily, and using olive oil at home were among the most common positive aspects of students' diets. However, regular consumption of fish, nuts, legumes, dairy products, and a second serving of fruit and vegetables was less prevalent. Having an active lifestyle, eating more plant products, and having more sustainable dietary behaviors in terms of the SHED index, were the main determinants of a high KIDMED score. Likewise, graduate students, daily consumers of plant-based meat alternatives, and students attending university canteens daily were more likely to adopt healthier diets.
CONCLUSIONS: Future actions are crucial to create a food environment that facilitates healthy and sustainable dietary choices among young adults, such as improving the nutritional quality of processed products and regulating their promotion, as well as implementing initiatives to improve university food services and encourage the use of campus dining facilities.",PB,Consumer & market research,False,True,True,True
773,pub.1185315812,The SALSA Questionnaire: creation and validation of a tool to assess people’s self-perceived barriers and facilitators to follow a sustainable and healthy diet,"A transition towards sustainable and healthy diet(SHD) is crucial for both population and planetary health. However, changing consumer’s behaviour is challenging due to the many factors influencing food choices. Tools that comprehensively assess these factors are paramount, yet none are available in Spain. Hence, we created and validated the SALSA questionnaire to capture self-perceived barriers and facilitators for SHD. The process involved three phases: First, item development combining insights from a scoping review and content validity with experts(n = 9) and the target population(n = 38); Second, scale development by pre-testing the questionnaire(n = 4), administering it through an online survey to two samples(Dimensionality-Sample, n = 516; Reliability-Sample, n = 61), and applying exploratory factor analysis for factors extraction and item reduction; Third, scale evaluation by testing its dimensionality through confirmatory factor analysis, its reliability through Cronbach’s alpha and McDonald’s omega, and intra-class correlation coefficient, and construct validity through discriminant validity, convergent validity, and correlation analysis. Results yielded a questionnaire with 27 items grouped into four dimensions: personal factors, sociocultural factors, external factors, and meat and plant-based meat alternatives. The psychometric analysis revealed that the SALSA questionnaire is a reliable instrument to identify behavioural determinants.",PB,Consumer & market research,False,True,False,False
2369,pub.1186126117,Characterizing the Sulfated and Glucuronidated (Poly)phenol Metabolome for Dietary Biomarker Discovery,"(Poly)phenols, bioactive compounds abundant in plant-based diets, have attracted interest for their potential role in preventing chronic diseases including cardiometabolic and neurodegenerative diseases. This study investigates the global sulfatome and glucuronidated metabolome in urine samples from 100 healthy adults collected pre- and postintervention following a 3-day (poly)phenol-rich intervention consisting of flaxseeds, raspberry powder, and soy milk. Using untargeted mass spectrometric metabolomics combined with selective phase II enzymatic treatment, we detected 156 sulfated and 143 glucuronidated metabolites in urine samples. Significant changes postintervention were observed for 91 sulfates and 94 glucuronides. Receiver operating characteristic curve analysis identified a combination of six polyphenol-derived key metabolites: glucuronidated daidzein and the sulfated compounds of pyrogallol, ferulic acid, 4-methoxyphenol, enterolactone, and resorcinol, which resulted in the best combination with the highest predictive AUC of 0.97. These findings underscore the utility of these metabolites as sensitive and selective biomarkers of (poly)phenol dietary intake.",PB,Health & nutrition,False,True,True,True
15,pub.1190884675,Deciphering the Physiological Responses to the Intake of Plant-Based Meat Analogues: On the Track of Microbiota and Biomarkers in Serum and Urine,"Growing concerns about the alleged negative outcomes of the consumption of animal-based foods (ABF) lead a number of consumers to demand so-called plant-based meat analogues (PBMAs), which are designed to replicate the sensory and nutritional characteristics of genuine meat. This study aimed to characterize the physiological effects of long-term PBMA consumption by comparing their specific influence on both gut microbiota and fluids (i.e., plasma and urine) with those of conventional beef in a rodent model by using metagenomic and metabolomic tools. Twenty-one Wistar rats were divided into groups and consumed diets made with either wheat- and soy-based meat analogues or beef. The microbiota of PBMA-fed animals showed increased amounts of the harmful genus of gut bacteria, while their metabolomes reflected disturbances in the nitrogen-containing compound metabolism and the presence of potentially harmful metabolites. These results should raise concern and prompt further research into the long-term impact of consumption of PBMAs on health.",PB,Health & nutrition,False,True,True,True
3516,pub.1187683254,Unravelling Protein–Fungal Hyphae Interactions at the Nanoscale,"Fungal hyphae have demonstrated their importance in developing environmentally friendly, multiscale, composite assemblies where animal-derived proteins have been predominantly used as binders. Now, an ongoing challenge is to replace those high-performance animal protein binders with ecofriendly, plant-based alternatives. While the majority of studies have focused on the binding implied by rheological observations, relatively little is known about how such animal proteins bind to hyphal surfaces at nanometric length scales, and this knowledge is required to replace animal-derived binders with plant protein alternatives. Here, we decode intermolecular interactions of plant protein-based binders such as potato protein (PoP) to fungal (Fusarium venenatum) hyphae in comparison to a classic animal protein-based binder (egg white protein, EWP) using a suite of theoretical and experimental approaches. Self-consistent field calculations modeling fungal hyphae as weakly hydrophobic, parallel cylinders predicted differences in the interaction potentials between the model protein layers, showing that EWP had an attractive potential across a broad range of conditions, in contrast to PoP that was mainly repulsive. Stimulated emission depletion (STED) microscopy of protein-coated fungal hyphae confirmed that EWP delivers a uniform and complete coverage, while PoP naturally aggregates, resulting in more patchy coverage. Experimental interaction forces were measured using colloidal probe atomic force microscopy, confirming the influence of non-Coulombic forces particularly dominating in PoP, and attractive forces in EWP, further differentiating their respective binding mechanisms. Collectively, this multimethodological study provides a first-hand molecular explanation of the weaker hyphal-binding properties of aggregated plant proteins at the nanoscale, consistent with the previously reported macroscale observations.",CC,Ingredient optimisation,False,True,False,True
2018,pub.1184365580,First detection of viral pathogens of chickpea in Germany,"Legumes play a crucial role in agriculture and serve as a valuable source of protein for human and animal consumption. However, legumes are susceptible to various viral infections, which can cause significant losses in yield and quality. Chickpea (Cicer arietinum L.) is an important food legume worldwide. While its cultivation in Germany is still in its infancy, it is expected to increase due to its numerous advantages. It is adapted to drought conditions, is an attractive additional option for crop rotations in organic farming and is gaining popularity for regionally produced food products. However, there is little knowledge about the presence and potential agronomic impact of viral pathogens in chickpea grown under German conditions. This study is the first that investigated the prevalence of legume-infecting viruses on chickpea crops grown in Germany. In 2022 and 2023, we collected sample material from symptomatic plants at three locations and analyzed it for the presence of circular (ss) DNA viruses, such as pea necrotic yellow dwarf virus (PNYDV), using a combination of rolling circle amplification (RCA) and downstream restriction fragment length pattern (RFLP) analysis. Furthermore, we conducted a reverse transcription PCR assay to detect different legume-infecting RNA viruses. In 2022 PNYDV was detected in 5 plants, all from the ‘Amorgos’ chickpea variety, located near a pea field. RNA viruses were detected in 27 plants, mostly TuYV or PEMV-1. Double and triple infections were common, with one plant exhibiting a triple infection of PNYDV, TuYV and PEMV-1. Symptoms of viral infection included leaf yellowing, dwarfism and chlorotic spots, with coinfections leading to more severe symptoms. In 2023, pea, cowpea and chickpea samples were collected from Schleibnitz/Wanzleben, Saxony-Anhalt, along with various chickpea accessions and cultivars from ZALF experimental fields, where the presence of PSbMV, PEMV, PNYDV, BYMV and TuYV was confirmed across these hosts. These findings indicate that viral pathogens pose a significant threat to chickpea production in Germany, necessitating the development of resistant cultivars and integrated management strategies.",PB,Food safety & quality,False,True,False,False
2979,pub.1185346504,"Effective altruism, technoscience and the making of philanthropic value","A recent philanthropic movement with advocates among high-profile tech entrepreneurs and philosophers, effective altruism (EA) has been widely disparaged for its flawed moral philosophy and conservative political implications. As philanthropic practice, however, it has been seldom studied. In this paper, we argue that claims to technoscientific expertise are central to how EA actors understand, legitimize, and take part in the production of philanthropic value. We analyze their practices of categorization, ranking and measurement as well as underlying technoscientific imaginaries and moral views through comparing three areas of EA intervention: neglected tropical diseases, cultured meat, and AI safety. We show how EA involves various and contested ambitions to direct knowledge production and redraw the boundaries of expert communities, shedding light on the centrality of technoscience in philanthropists' worldmaking ambitions.",CM,Other,False,True,True,True
895,pub.1184374462,"Innovative vs. classical methods for drying heterotrophic Chlorella vulgaris: Impact on the nutritional properties, safety, sustainability and costs","The microalgae Chlorella vulgaris is an interesting emerging food source, but to compete with other alternative protein sources, production costs must be reduced. The drying process plays a critical role in production as it ensures product stabilization and quality preservation. However, drying is a cost-intensive process and different drying methods and drying parameters can significantly affect the composition and quality of the final product. This study analyzed the effects of the conventional drying methods freeze drying (FD) and spray drying (SprD) as well as the innovative drying methods solar drying (SolD), pulse combustion drying (PCD) and agitated thin film drying (ATFD) on the nutrient composition, the content of polycyclic aromatic hydrocarbons, the microbial count (total bacterial count, yeasts, molds, E. coli) as well as the environmental impact and production cost. Except for ATFD, showing changes in the carbohydrate and fiber content, the effects of drying methods on nutrient composition were minor. SprD was identified as having the greatest environmental impact and being the most cost-intensive, whereas SolD performed best, with only a slight reduction in vitamin B6 and some mineral elements compared to FD. PCD performed second best but needs improvement in terms of drying yield to reduce production costs.",F,Ingredient optimisation,False,True,True,True
1442,pub.1192415795,"Development and Evaluation of Egg-Free Mayonnaise Stabilized with Aquafaba and Gum Tragacanth: Functional, Sensory, and Storage Properties","This study developed and evaluated plant-based mayonnaise formulations in which egg yolk was replaced with aquafaba (15-25%) and stabilized with gum tragacanth (0.3-1.0%). Formulations were prepared using canola oil and stored at 4 °C for 28 days. Aquafaba extract was characterized for total phenolic content (TPC) and total flavonoid content (TFC), while mayonnaise samples were assessed for physicochemical composition, creaming index, antioxidant activity, viscosity, texture, sensory properties, and microbiological stability. Total phenolic content (TPC) rose from 17.52 mg GAE/g at 10 µg to 135.34 mg GAE/g at 100 µg (p < 0.05), while total flavonoid content (TFC) increased from 76.95 to 192.42 mg TE/g over the same concentration range. These increases demonstrate the high antioxidant potential of aquafaba extract. The 25% aquafaba + 1% gum tragacanth formulation (T3) showed the highest protein content, viscosity, firmness, and antioxidant capacity, with improved storage stability compared to the control. FTIR analysis identified functional groups such as phenols, esters, and carboxylic acids, suggesting contributions to antioxidant activity and emulsion stability. Sensory evaluation indicated strong acceptance for T3. These results demonstrate that aquafaba combined with gum tragacanth can effectively replace egg yolk while maintaining desirable quality attributes.",PB,End product formulation,False,True,False,False
862,pub.1194689444,What Shall We Cook Tomorrow? Empowering Students Through Sustainable Food Education and Novel Protein Exploration,"This report presents the activities and outcomes of an educational project aimed at promoting sustainable food awareness among high-school students in Italy through the active contributions from young researchers, profit partners and school educators. The project involved two final-year classes—one from a scientific lyceum and one from a technical chemistry institute—and integrated theoretical lessons, laboratory activities, and experiential learning focused on planetary boundaries, sustainable diets, and alternative proteins such as from algae and insects. To assess the impact of the project, pre- and post-intervention questionnaires were administered and are here discussed. The intervention significantly enhanced the students’ cognitive and affective engagement both during the sessions and in the immediate aftermath, as evidenced by elevated levels of satisfaction and retention of key concepts. Overall, the project fostered great environmental awareness and openness to sustainable food choices, demonstrating the potential of targeted hands-on educational programs to influence both attitudes and behaviours in younger generations of western high-income countries. The project serves as a replicable model of a transdisciplinary approach for integrating Education for Sustainable Development (ESD) and education for Planetary Health into secondary school curricula.",PB,Consumer & market research,False,True,False,True
98,pub.1195165724,Never too late to try something new: attitudes and intention to taste foods from alternative protein sources in a sample of Italian older adults,"Introduction: Nutrition in older adults requires special attention due to protein-energy malnutrition (PEM) risk. Therefore, identifying healthy and sustainable protein sources is crucial, as traditional animal proteins pose challenges to both health and the environment. While most research focuses on younger populations, this study examined the responses of older adults to three alternative protein sources (APS): one plant-based (PBF) and two animal-based sources: cultured meat (CM) and insect-based foods (IBF). We investigated the role of explicit and automatic attitudes in shaping intention to consume (ITC) and the influence of familiarity.
Methods: A between-subjects design was performed: Each participant was randomly assigned to one APS, reported explicit attitudes and ITC, and completed an Implicit Association Test (IAT) to assess automatic attitudes.
Results: Regression analyses showed that ITC varied across APS. For PBF, familiarity was the strongest predictor, followed by explicit attitudes related to taste and automatic attitudes. For CM, ITC was primarily associated with explicit attitudes concerning both taste and safety. For IBF, ICT was mainly related to explicit attitudes concerning taste. ANOVAs comparing the three APSs revealed that IBF was the least favored option. Unexpectedly, although PBF was rated as tastier and safer than CM, it was less preferred in terms of automatic attitudes and ITC.
Discussion: These findings offer new insights into older adults' openness to APS. Disgust and perceived risk were identified as the primary factors influencing the acceptance of animal-based APS, while familiarity and automatic reactions were key factors in the acceptance of PBF. Importantly, although PBF received positive evaluations at the explicit level, it prompted negative automatic attitudes and low intention to consume, suggesting that older adults may implicitly resist PBF, viewing it as less compatible with their dietary habits compared to CM. This evidence challenges the common belief that PBF is the most accepted category of APS and highlights the need to investigate further the implicit barriers that may prevent the integration of these foods for healthy aging.",CC,Consumer & market research,False,True,False,True
